chng_type,Type,area_ha
loss,Estuary_2112,25.64365954
gain,Estuary_212,42.92174637
loss,Estuary_212,15.50167233
gain,Estuary_2120,31.43344599
loss,Estuary_2120,107.6029351
gain,Estuary_2138,2351.821772
loss,Estuary_2138,1430.980177
gain,Estuary_214,31.13119762
loss,Estuary_214,37.12823709
gain,Estuary_2146,525.5061318
loss,Estuary_2146,300.1478189
gain,Estuary_2196,77.71092437
loss,Estuary_2196,89.72924705
gain,Estuary_2244,53.27050377
loss,Estuary_2244,38.51172764
gain,Estuary_2259,1.629706564
loss,Estuary_2259,42.22670544
gain,Estuary_226,325.8819236
loss,Estuary_226,195.0137078
gain,Estuary_2262,402.6789617
loss,Estuary_2262,654.2116721
gain,Estuary_2265,13.1361912
loss,Estuary_2265,58.12094457
gain,Estuary_2283,20.70625386
loss,Estuary_2283,77.16782388
gain,Estuary_23,7.104818075
loss,Estuary_23,11.25059893
gain,Estuary_2301,46.27506716
loss,Estuary_2301,137.7518696
gain,Estuary_2307,41.39457842
loss,Estuary_2307,120.9458393
gain,Estuary_231,15.39206963
loss,Estuary_231,205.4255335
gain,Estuary_2313,8.83006871
loss,Estuary_2313,13.11331415
gain,Estuary_232,108.1878432
loss,Estuary_232,182.1679533
gain,Estuary_2331,494.9568031
loss,Estuary_2331,835.0702229
gain,Estuary_2332,0.785617029
loss,Estuary_2332,1.389939774
gain,Estuary_2349,20.21024313
loss,Estuary_2349,89.0974778
gain,Estuary_237,26.08254601
loss,Estuary_237,14.06482684
gain,Estuary_2372,0.241817656
loss,Estuary_2372,1.874124378
gain,Estuary_241,19.09227735
loss,Estuary_241,9.03964185
gain,Estuary_2417,57.56489704
loss,Estuary_2417,94.13984727
gain,Estuary_242,126.8143548
loss,Estuary_242,1051.705439
gain,Estuary_243,23.56336725
loss,Estuary_243,298.2948099
gain,Estuary_2439,12.49157505
loss,Estuary_2439,32.50241786
gain,Estuary_2459,10.94115568
loss,Estuary_2459,4.820734836
gain,Estuary_2481,8.562698722
loss,Estuary_2481,133.8844411
gain,Estuary_2496,10.78486221
loss,Estuary_2496,18.02348688
gain,Estuary_250,6.237680442
loss,Estuary_250,14.55559789
gain,Estuary_2516,13.66401927
loss,Estuary_2516,44.38889306
gain,Estuary_2522,14.3413932
loss,Estuary_2522,17.1571702
gain,Estuary_2558,28.8161888
loss,Estuary_2558,82.56961312
gain,Estuary_2584,0.666039307
loss,Estuary_2584,70.72903745
gain,Estuary_2586,20.82197378
loss,Estuary_2586,53.1473016
gain,Estuary_260,124.9015363
loss,Estuary_260,138.9767074
gain,Estuary_2607,142.8670558
loss,Estuary_2607,172.7760909
gain,Estuary_2624,25.15634014
loss,Estuary_2624,78.56602082
gain,Estuary_2637,111.2040743
loss,Estuary_2637,189.0850008
gain,Estuary_2643,35.79199705
loss,Estuary_2643,108.0440855
gain,Estuary_2653,57.44810063
loss,Estuary_2653,74.59024297
gain,Estuary_2655,15.79743994
loss,Estuary_2655,149.1013617
gain,Estuary_2658,25.55543623
loss,Estuary_2658,28.36758226
gain,Estuary_2665,109.8928853
loss,Estuary_2665,1606.507345
gain,Estuary_2689,25.88322447
loss,Estuary_2689,534.1714317
gain,Estuary_2702,3.240834013
loss,Estuary_2702,18.16321073
gain,Estuary_2709,68.63455113
loss,Estuary_2709,194.2439427
gain,Estuary_271,165.88518
loss,Estuary_271,72.55148962
gain,Estuary_2716,10.35660334
loss,Estuary_2716,12.17132363
gain,Estuary_2719,13.03365991
loss,Estuary_2719,12.87416731
gain,Estuary_273,12.31776475
loss,Estuary_273,16.28302936
gain,Estuary_2730,4.609467315
loss,Estuary_2730,5.276648799
gain,Estuary_2738,1.152347195
loss,Estuary_2738,19.68230602
gain,Estuary_2739,2.773084675
loss,Estuary_2739,300.9395749
gain,Estuary_2752,0.970540681
loss,Estuary_2752,4.260387282
gain,Estuary_2754,28.28245448
loss,Estuary_2754,32.61707536
gain,Estuary_2766,0.181999214
loss,Estuary_2766,3.738506568
gain,Estuary_2774,32.29831433
loss,Estuary_2774,30.476767
gain,Estuary_2789,14.19567156
loss,Estuary_2789,116.3713038
gain,Estuary_2790,61.70373118
loss,Estuary_2790,76.42407026
gain,Estuary_2809,25.89170773
loss,Estuary_2809,1961.181179
gain,Estuary_2811,0.182038653
loss,Estuary_2811,13.47062312
gain,Estuary_2815,3.853382104
loss,Estuary_2815,9.359288484
gain,Estuary_2825,23.67339594
loss,Estuary_2825,42.58587995
gain,Estuary_2833,25.54082629
loss,Estuary_2833,305.0581003
gain,Estuary_2836,34.71617358
loss,Estuary_2836,179.3176685
gain,Estuary_286,11.02156037
loss,Estuary_286,14.01200722
gain,Estuary_2865,3.439589029
loss,Estuary_2865,6.844486352
gain,Estuary_2885,15.98537305
loss,Estuary_2885,33.62872807
gain,Estuary_289,10.16597472
loss,Estuary_289,17.74698354
gain,Estuary_291,9.467245007
loss,Estuary_291,5.025395066
gain,Estuary_2916,0.12140604
loss,Estuary_2916,0.485626102
gain,Estuary_2937,276.94096
loss,Estuary_2937,275.0143419
gain,Estuary_2946,142.0034808
loss,Estuary_2946,152.2407906
gain,Estuary_2954,0.532933964
loss,Estuary_2954,3.096296789
gain,Estuary_2967,162.0169088
loss,Estuary_2967,409.9732461
gain,Estuary_2968,19.43720835
loss,Estuary_2968,4.736482012
gain,Estuary_2970,0.06067994
loss,Estuary_2970,0.364077463
gain,Estuary_2975,9.181413613
loss,Estuary_2975,38.06884102
gain,Estuary_2986,0.038162474
loss,Estuary_2986,49.50035103
gain,Estuary_2987,2.77255579
loss,Estuary_2987,8.791722424
gain,Estuary_2991,7.825338136
loss,Estuary_2991,17.07854018
gain,Estuary_2994,5.100922162
loss,Estuary_2994,18.21640058
gain,Estuary_2996,11.65284502
loss,Estuary_2996,23.89727182
gain,Estuary_2997,5.373287559
loss,Estuary_2997,1.87703812
gain,Estuary_30000,24.65139194
loss,Estuary_30000,44.37871525
gain,Estuary_30001,2487.363077
loss,Estuary_30001,2211.821175
gain,Estuary_30002,1626.282053
loss,Estuary_30002,2262.892908
gain,Estuary_30003,613.2221023
loss,Estuary_30003,912.1414303
gain,Estuary_30004,128.0748581
loss,Estuary_30004,119.8866618
gain,Estuary_30005,8.469629508
loss,Estuary_30005,51.20124463
gain,Estuary_30006,897.9669283
loss,Estuary_30006,2134.324326
gain,Estuary_30007,887.3314937
loss,Estuary_30007,5132.724559
gain,Estuary_30008,47.71431222
loss,Estuary_30008,30.4703724
gain,Estuary_30009,7.904396905
loss,Estuary_30009,12.60544816
gain,Estuary_30010,26.47125848
loss,Estuary_30010,35.39794541
gain,Estuary_30011,100.1991762
loss,Estuary_30011,50.52181958
gain,Estuary_30012,32.21719477
loss,Estuary_30012,13.07010526
gain,Estuary_30013,224.9552616
loss,Estuary_30013,143.1980078
gain,Estuary_30014,18.93956581
loss,Estuary_30014,11.17511728
gain,Estuary_30015,7.400303057
loss,Estuary_30015,8.123815675
gain,Estuary_30016,1.927798155
loss,Estuary_30016,5.938864712
gain,Estuary_30017,25.41259762
loss,Estuary_30017,12.03590487
gain,Estuary_30018,2.515857814
loss,Estuary_30018,1.402264719
gain,Estuary_30019,1.042987245
loss,Estuary_30019,1.970211249
gain,Estuary_30020,57.57228098
loss,Estuary_30020,64.17456264
gain,Estuary_30021,257.5798804
loss,Estuary_30021,1946.369985
gain,Estuary_30022,8.753626362
loss,Estuary_30022,68.81613367
gain,Estuary_30024,28.59394233
loss,Estuary_30024,77.2514232
gain,Estuary_30025,10.18939092
loss,Estuary_30025,112.4527024
gain,Estuary_30026,34.31519706
loss,Estuary_30026,48.55642523
gain,Estuary_30027,37.48178264
loss,Estuary_30027,44.18894552
gain,Estuary_3021,25.89143512
